Month,Retailer,StoreType,Category,Units
2018 Apr,AAFES,B&M,DAYPACK,0
2018 Apr,AAFES,B&M,JACKET/VEST,60
2018 Apr,AAFES,B&M,PANT/CAPRI,7401
2018 Apr,AAFES,ECOMMERCE,SLEEPING BAG,0
2018 Apr,AAFES,OTHER,PANT/CAPRI,-15
2018 Apr,ACADEMY SPORTS,B&M,DAYPACK,962
2018 Apr,ACADEMY SPORTS,B&M,JACKET/VEST,0
2018 Apr,ACADEMY SPORTS,B&M,PANT/CAPRI,4572
2018 Apr,ACADEMY SPORTS,B&M,SLEEPING BAG,244
2018 Apr,ACADEMY SPORTS,B&M,TENT,56
2018 Apr,ACADEMY SPORTS,ECOMMERCE,DAYPACK,112
2018 Apr,ACADEMY SPORTS,ECOMMERCE,PANT/CAPRI,168
2018 Apr,ACADEMY SPORTS,ECOMMERCE,SLEEPING BAG,16
2018 Apr,ACADEMY SPORTS,ECOMMERCE,TENT,6
2018 Apr,BACKCOUNTRY,AMAZON,DAYPACK,2382
2018 Apr,BACKCOUNTRY,AMAZON,PANT/CAPRI,255
2018 Apr,BACKCOUNTRY,ECOMMERCE,DAYPACK,1504
2018 Apr,BACKCOUNTRY,ECOMMERCE,JACKET/VEST,510
2018 Apr,BACKCOUNTRY,ECOMMERCE,PANT/CAPRI,2271
2018 Apr,BACKCOUNTRY,ECOMMERCE,SLEEPING BAG,464
2018 Apr,BACKCOUNTRY,ECOMMERCE,TENT,224
2018 Apr,BACKCOUNTRY,OUTLET,DAYPACK,334
2018 Apr,BACKCOUNTRY,OUTLET,JACKET/VEST,72
2018 Apr,BACKCOUNTRY,OUTLET,PANT/CAPRI,453
2018 Apr,BACKCOUNTRY,OUTLET,SLEEPING BAG,54
2018 Apr,BACKCOUNTRY,OUTLET,TENT,10
2018 Apr,BLOOMINGDALES,B&M,JACKET/VEST,21
2018 Apr,BLOOMINGDALES,B&M,PANT/CAPRI,-9
2018 Apr,BLOOMINGDALES,ECOMMERCE,JACKET/VEST,15
2018 Apr,BLOOMINGDALES,ECOMMERCE,PANT/CAPRI,-3
2018 Apr,BOBS STORES,B&M,DAYPACK,2
2018 Apr,BOBS STORES,B&M,JACKET/VEST,0
2018 Apr,BOBS STORES,B&M,PANT/CAPRI,0
2018 Apr,BOBS STORES,B&M,SLEEPING BAG,0
2018 Apr,BOBS STORES,B&M,TENT,0
2018 Apr,BOBS STORES,ECOMMERCE,DAYPACK,0
2018 Apr,BOBS STORES,ECOMMERCE,JACKET/VEST,0
2018 Apr,BOBS STORES,ECOMMERCE,PANT/CAPRI,0
2018 Apr,BOBS STORES,ECOMMERCE,SLEEPING BAG,0
2018 Apr,BOBS STORES,ECOMMERCE,TENT,0
2018 Apr,ChampaignSurplus,OTHER,DAYPACK,138
2018 Apr,ChampaignSurplus,OTHER,PANT/CAPRI,429
2018 Apr,ChampaignSurplus,OTHER,SLEEPING BAG,-4
2018 Apr,DICKS SPORTING GOODS,B&M,DAYPACK,1426
2018 Apr,DICKS SPORTING GOODS,B&M,JACKET/VEST,1845
2018 Apr,DICKS SPORTING GOODS,B&M,PANT/CAPRI,9891
2018 Apr,DICKS SPORTING GOODS,B&M,SLEEPING BAG,2174
2018 Apr,DICKS SPORTING GOODS,B&M,TENT,402
2018 Apr,DICKS SPORTING GOODS,ECOMMERCE,DAYPACK,304
2018 Apr,DICKS SPORTING GOODS,ECOMMERCE,JACKET/VEST,1785
2018 Apr,DICKS SPORTING GOODS,ECOMMERCE,PANT/CAPRI,738
2018 Apr,DICKS SPORTING GOODS,ECOMMERCE,SLEEPING BAG,92
2018 Apr,DICKS SPORTING GOODS,ECOMMERCE,TENT,20
2018 Apr,DICKS SPORTING GOODS,OUTLET,DAYPACK,0
2018 Apr,DICKS SPORTING GOODS,OUTLET,JACKET/VEST,12
2018 Apr,DICKS SPORTING GOODS,OUTLET,PANT/CAPRI,30
2018 Apr,DILLARDS,B&M,DAYPACK,618
2018 Apr,DILLARDS,B&M,JACKET/VEST,1083
2018 Apr,DILLARDS,B&M,PANT/CAPRI,7521
2018 Apr,DILLARDS,B&M,TENT,14
2018 Apr,DILLARDS,ECOMMERCE,DAYPACK,6
2018 Apr,DILLARDS,ECOMMERCE,JACKET/VEST,24
2018 Apr,DILLARDS,ECOMMERCE,PANT/CAPRI,192
2018 Apr,DILLARDS,ECOMMERCE,SLEEPING BAG,0
2018 Apr,DILLARDS,ECOMMERCE,TENT,2
2018 Apr,DILLARDS,OUTLET,JACKET/VEST,3
2018 Apr,DILLARDS,OUTLET,PANT/CAPRI,48
2018 Apr,EASTERN MOUNTAIN SPORTS,B&M,DAYPACK,252
2018 Apr,EASTERN MOUNTAIN SPORTS,B&M,JACKET/VEST,168
2018 Apr,EASTERN MOUNTAIN SPORTS,B&M,PANT/CAPRI,972
2018 Apr,EASTERN MOUNTAIN SPORTS,B&M,SLEEPING BAG,14
2018 Apr,EASTERN MOUNTAIN SPORTS,B&M,TENT,4
2018 Apr,EASTERN MOUNTAIN SPORTS,ECOMMERCE,DAYPACK,56
